names,ratings,price,num_reviews,annual_power_usage
Panasonic 2026 Model 1 Ton 5 Star Split Inverter with Wi-fi AC,4.2,"₹39,990","3,917 Ratings & 428 Reviews","Annual Power Usage: 460.65 kWhRoom Size: 90 sqft or Below5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
Panasonic 2026 Model 2 Ton 3 Star Split Inverter with Wi-fi AC,4.2,"₹51,990",806 Ratings & 69 Reviews,"Annual Power Usage: 1153.74 kWhRoom Size: 151 - 200 sqft5 Year Comprehensive warranty on Product, 10 Years warranty on Compressor, 5 Years warranty on ODU Casing plus 4 Years warranty on PCB"
"LG 2025 Model 1 Ton 3 Star Split AI Dual Inverter AI Convertible 6-in-1 with VIRAAT Mode, Diet Plus Mo...",4.2,"₹34,290","5,687 Ratings & 681 Reviews","Annual Power Usage: 650.52 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product,  5 Years on PCB and Motor, 10 Years Warranty on Compressor with Gas Charging"
Panasonic 2026 Model 1.5 Ton 4 Star Split Inverter with Wi-fi AC,4.1,"₹41,990","1,953 Ratings & 226 Reviews","Annual Power Usage: 759.55 kWhRoom Size: 111 - 150 sqft5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
"LG 2026 Model 1 ton 3 Star Split Inverter Faster Cooling and Energy Saving, AI Convertible 6-in-1 Cool...",4.2,"₹34,290","5,687 Ratings & 681 Reviews","Annual Power Usage: 584.24 kWhRoom Size: 90 sqft or Below1 Year Comprehensive warranty on Product, 5 Year warranty on PCB & Motor and 10 Year warranty on Compressor"
"LG 2025 Model 1.5 Ton 5 Star Split Dual Inverter with Wi-fi with Energy Manger Plus, Voice Control, Hi...",4.2,"₹43,990","43,013 Ratings & 4,078 Reviews",Annual Power Usage: 744.75 kWhRoom Size: 111 - 150 sqft1 Year Manufacturing Warranty on Product
"LG 2025 Model 1.5 Ton 3 Star Split AI Dual Inverter 6-in-1 Convertible, Faster Cooling & Energy Saving...",4.1,"₹38,350","40,216 Ratings & 3,803 Reviews","Annual Power Usage: 852.44 kWhRoom Size: 111 - 150 sqftManufacturer warranty: 1 Year Comprehensive Warranty on Product, 5 Year on PCB and Motor & 10 Year on Compressor (*Free Gas charging during comprehensive warranty period only | T&C Apply) | Contact Brand for queries/assistance @ [Telephone: 08069379999, WhatsApp: 9711709999 & Email: serviceindia@lge.com] and provide product's model name and seller's details mentioned on your invoice. Brand's service centre will allot you a convenient slot for the service. â For units installed by entities outside of Brand's service network, warranty repairs for defects attributed to installation may be charged by the Brand."
"LG 2024 Model 1 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with Anti-Virus Protection with VIRAA...",4.2,"₹35,590","5,687 Ratings & 681 Reviews","Annual Power Usage: 642.26 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging (T&C)"
LG 2023 Model 1.5 Ton 3 Star Split Inverter AC,4.1,"₹39,350","40,216 Ratings & 3,803 Reviews","Annual Power Usage: 891.27 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging"
LG 2025 Model 1.5 Ton 3 Star Window Dual Inverter Convertible 4-in-1 Cooling with Faster Cooling and E...,4.1,"₹35,590","4,645 Ratings & 439 Reviews","Annual Power Usage: 1115.04 UnitsRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product, 5 Year on PCB and Motor & 10 Year on Compressor (Free Gas charging during comprehensive warranty period only)"
LG 2025 Model 1.5 Ton 3 Star Hot and Cold Split AI Dual Inverter Convertible 5-in-1 with 4 Way Air Swi...,4.1,"₹39,990","40,216 Ratings & 3,803 Reviews","Annual Power Usage: 1005.66 UnitsRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product, 5 Year on PCB and Motor & 10 Year on Compressor (Free Gas charging during comprehensive warranty period only)"
LG 2025 Model 1 Ton 5 Star Split AI Dual Inverter AI Convertible 6-in-1 Split with Faster Cooling and ...,4.2,"₹36,290","7,200 Ratings & 775 Reviews","Annual Power Usage: 515.84 kWhRoom Size: 90 sqft or Below1 Year Warranty on Product,5 year on Pcb and 10 Years Warranty on Compressor"
"LG 2025 Model 2 Ton 3 Star Split AI Dual Inverter AI Convertible 6-in-1, with Faster Cooling and Energ...",4.1,"₹56,900","1,496 Ratings & 111 Reviews","Annual Power Usage: 1218.49 WRoom Size: 151 - 200 sqft1 Year Comprehensive Warranty on Product, 5 Year on PCB and Motor & 10 Year on Compressor (Free Gas charging during comprehensive warranty period only)"
"LG 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection,VIR...",4.1,"₹78,990","2,352 Ratings & 201 Reviews","Annual Power Usage: 849.1 UnitsRoom Size: 91 - 110 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor from LG"
"LG 2024 Model 1.5 Ton 3 Star Split Dual Inverter AI Convertible 6-in-1 Cooling HD Filter, Anti-Virus P...",4.1,"₹78,990","40,216 Ratings & 3,803 Reviews","Annual Power Usage: 852.44 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor from LG"
"LG 2024 Model 1.5 Ton 5 Star Split Dual Inverter AI Convertible 6-in-1 Cooling, HD Filter with Anti-Vi...",4.2,"₹44,846","43,013 Ratings & 4,078 Reviews","Annual Power Usage: 744.54 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor from LG"
Panasonic 2026 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,4.3,"₹44,990","20,397 Ratings & 2,172 Reviews","Annual Power Usage: 681.01 kWhRoom Size: 111 - 150 sqft5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
Panasonic 2026 Model 1.5 Ton 3 Star Split Inverter with Wi-fi AC,4.2,"₹36,990","22,656 Ratings & 2,219 Reviews","Annual Power Usage: 877.74 kWhRoom Size: 111 - 150 sqft5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
LG 2024 Model 1 Ton 5 Star Split Inverter AI Convertible 6-in-1 Cooling HD Filter with Anti-Virus Prot...,4.2,"₹75,990","7,200 Ratings & 775 Reviews","Annual Power Usage: 521.2 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging (T&C)"
"LG 2023 Model 1.5 Ton 5 Star Split Inverter with Wi-fi 4 Way Swing, HD Filter with Anti-Virus Protecti...",4.2,"₹81,670","43,013 Ratings & 4,078 Reviews","Annual Power Usage: 685.26 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging"
Panasonic 2026 Model 1 Ton 3 Star Split Inverter with Wi-fi AC,4.2,"₹33,990","5,201 Ratings & 593 Reviews","Annual Power Usage: 593.89 kWhRoom Size: 90 sqft or Below5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
Panasonic 2026 Model 1 Ton 5 Star Split Inverter with Wi-fi AC,4.2,"₹39,990","3,917 Ratings & 428 Reviews","Annual Power Usage: 460.65 kWhRoom Size: 90 sqft or Below5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
"LG 2024 Model 1.5 Ton 5 Star Split Inverter AI Convertible 6-in-1 Cooling, HD Filter with Anti-Virus P...",4.2,"₹46,490","43,013 Ratings & 4,078 Reviews","Annual Power Usage: 744.99 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging (T&C)"
LG 2024 Model 1 Ton 3 Star Split Inverter AC,4.2,"₹38,990","5,687 Ratings & 681 Reviews","Annual Power Usage: 650.52 kWhRoom Size: 90 sqft or BelowWarranty Does Not Cover Plastic Parts. If Any Mishandling from Customer on AC, Fire Accident to AC if Fire Source is External, Natural Calamity, Tampered Parts Will Not be Covered Under Warranty"
LG 2024 Model 0.8 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection with VIRAAT Mode...,3.8,"₹67,990",351 Ratings & 26 Reviews,"Annual Power Usage: 625.33 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor from LG"
"LG 2023 Model 1.5 Ton 4 Star Split Inverter 4 Way Swing, HD Filter with Anti-Virus Protection AC",4.1,"₹78,799","2,026 Ratings & 222 Reviews","Annual Power Usage: 837.55 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging (T&C)"
Panasonic 2026 Model 2 Ton 3 Star Split Inverter with Wi-fi AC,4.2,"₹51,990",806 Ratings & 69 Reviews,"Annual Power Usage: 1153.74 kWhRoom Size: 151 - 200 sqft5 Year Comprehensive warranty on Product, 10 Years warranty on Compressor, 5 Years warranty on ODU Casing plus 4 Years warranty on PCB"
Panasonic 2026 Model 1.5 Ton 4 Star Split Inverter with Wi-fi AC,4.1,"₹41,990","1,953 Ratings & 226 Reviews","Annual Power Usage: 759.55 kWhRoom Size: 111 - 150 sqft5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
LG 2021 Model 1.5 Ton 3 Star Split Dual Inverter AC,4.1,"₹35,150","40,216 Ratings & 3,803 Reviews",Annual Power Usage: 1370 UnitsRoom Size: 111 - 150 sqft1 Year on Product and 10 Years on Compressor From LG
"LG 2023 Model 1.5 Ton 5 Star Split Inverter AI Convertible 6-in-1 Cooling , HD Filter with Anti-Virus ...",4.2,"₹42,990","43,013 Ratings & 4,078 Reviews","Annual Power Usage: 685.26 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging"
LG 2023 Model 1.5 Ton 5 Star Split Inverter AC,4.2,"₹44,750","43,013 Ratings & 4,078 Reviews","Annual Power Usage: 685.26 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging"
LG 2021 Model 1.5 Ton 3 Star Split Inverter AC,4.1,"₹38,250","40,216 Ratings & 3,803 Reviews",Annual Power Usage: 2250 UnitsRoom Size: 111 - 150 sqft1 Year on Product and 10 Years on Compressor From LG
"LG 2022 Model 1.5 Ton 5 Star Split Inverter Super Convertible 6-in-1 CoolingAI, , HD Filter with Anti-...",4.2,"₹43,850","43,013 Ratings & 4,078 Reviews","Annual Power Usage: 818.81 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging"
"LG 2023 Model 1.5 Ton 5 Star Split Inverter Plasmaster (Ionizer) 4 Way Swing, HD Filter with Anti-Viru...",4.2,"₹43,150","43,013 Ratings & 4,078 Reviews","Annual Power Usage: 685.26 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging"
LG 2023 Model 1.5 Ton 5 Star Split Dual Inverter with Wi-fi AC,4.2,"₹43,630","43,013 Ratings & 4,078 Reviews",Annual Power Usage: 685.26 UnitsRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty and 10 Years Compressor Warranty
"LG 2023 Model 1.5 Ton 5 Star Split Inverter UV Nano, 4 Way Swing, HD Filter with Anti-Virus Protection...",4.2,"₹43,850","43,013 Ratings & 4,078 Reviews","Annual Power Usage: 685.26 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging"
"LG 2023 Model 1 Ton 5 Star Split Inverter with Wi-fi 4 Way Swing, HD Filter with Anti-Virus Protection...",4.2,"₹73,022","7,200 Ratings & 775 Reviews","Annual Power Usage: 521.2 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging"
"LG 2023 Model 1.5 Ton 5 Star Split Inverter AI Convertible 6-in-1 Cooling , HD Filter with Anti-Virus ...",4.2,"₹44,540","43,013 Ratings & 4,078 Reviews","Annual Power Usage: 685.26 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging"
LG 2025 Model 1.5 Ton 5 Star Split AI Dual Inverter AI Convertible 6-in-1 Split with Faster Cooling an...,4.2,"₹41,290","43,013 Ratings & 4,078 Reviews","Annual Power Usage: 744.75 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product,5 year on Pcb and 10 Years Warranty on Compressor"
LG 2025 Model 1.5 Ton 5 Star Split AI Dual Inverter AI Convertible 6-in-1 Split with Faster Cooling an...,4.2,"₹41,290","43,013 Ratings & 4,078 Reviews","Annual Power Usage: 744.75 UnitsRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product, 5 Year on PCB and Motor & 10 Year on Compressor (Free Gas charging during comprehensive warranty period only)"
Panasonic 2026 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,4.3,"₹44,990","20,397 Ratings & 2,172 Reviews","Annual Power Usage: 681.01 kWhRoom Size: 111 - 150 sqft5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
Panasonic 2026 Model 1.5 Ton 3 Star Split Inverter with Wi-fi AC,4.2,"₹36,990","22,656 Ratings & 2,219 Reviews","Annual Power Usage: 877.74 kWhRoom Size: 111 - 150 sqft5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
LG 2025 Model 1.5 Ton 5 Star Split AI Dual Inverter Mode AI Convertible 6-in-1 with Faster Cooling and...,4.2,"₹41,290","43,013 Ratings & 4,078 Reviews","Annual Power Usage: 744.54 UnitsRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product, 5 Year on PCB and Motor & 10 Year on Compressor (Free Gas charging during comprehensive warranty period only)"
LG 2026 Model 0.8 ton 2 Star Split Inverter AC,,"₹28,990",,"Annual Power Usage: 577.95 kWhRoom Size: 90 sqft or Below1 Year Comprehensive warranty on Product, 5 Year warranty on PCB & Motor and 10 Year warranty on Compressor"
LG 2023 Model 1.5 Ton 3 Star Window Dual Inverter AC,4.1,"₹73,990","4,645 Ratings & 439 Reviews",Annual Power Usage: 1115.04 UnitsRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
LG 2023 Model 2 Ton 3 Star Split Inverter with Wi-fi AC,4.1,"₹62,077","1,496 Ratings & 111 Reviews",Annual Power Usage: 1220.4 UnitsRoom Size: 151 - 200 sqft1 Year Warranty on Product and 5 Years Warranty on Compressor
Panasonic 2026 Model 1 Ton 3 Star Split Inverter with Wi-fi AC,4.2,"₹33,990","5,201 Ratings & 593 Reviews","Annual Power Usage: 593.89 kWhRoom Size: 90 sqft or Below5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
Panasonic 2026 Model 1 Ton 5 Star Split Inverter with Wi-fi AC,4.2,"₹39,990","3,917 Ratings & 428 Reviews","Annual Power Usage: 460.65 kWhRoom Size: 90 sqft or Below5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
LG 2025 Model 1.5 Ton 5 Star Window Dual Inverter Convertible 4-in-1 Cooling with Faster Cooling and E...,4.2,"₹40,990","2,685 Ratings & 281 Reviews","Annual Power Usage: 1052.74 UnitsRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product, 5 Year on PCB and Motor & 10 Year on Compressor (Free Gas charging during comprehensive warranty period only)"
Godrej 2025 Model 1.5 Ton 3 Star Split Inverter 5-In-1-Convertible Cooling with Heavy Duty Cooling And...,4,"₹28,490","18,780 Ratings & 1,534 Reviews","Annual Power Usage: 951.91 UnitsRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor"
Panasonic 2026 Model 2 Ton 3 Star Split Inverter with Wi-fi AC,4.2,"₹51,990",806 Ratings & 69 Reviews,"Annual Power Usage: 1153.74 kWhRoom Size: 151 - 200 sqft5 Year Comprehensive warranty on Product, 10 Years warranty on Compressor, 5 Years warranty on ODU Casing plus 4 Years warranty on PCB"
Panasonic 2026 Model 1.5 Ton 4 Star Split Inverter with Wi-fi AC,4.1,"₹41,990","1,953 Ratings & 226 Reviews","Annual Power Usage: 759.55 kWhRoom Size: 111 - 150 sqft5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
"Haier 2025 Model 1 Ton 3 Star Split Dual Inverter Intelli-Convertible 7 in 1 ConvertibleHD Filter, Fro...",4,"₹25,990","1,866 Ratings & 163 Reviews",Annual Power Usage: 688.52 UnitsRoom Size: 90 sqft or Below5 Year Warranty on Product and 12 Years Warranty on Compressor
MarQ by Flipkart 2025 Model 1 Ton 3 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technology ...,4.2,"₹21,990","39,732 Ratings & 4,950 Reviews",Annual Power Usage: 684.9 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor
Godrej 2025 Model 1 Ton 3 Star Split Inverter 5-In-1-Convertible Cooling with Heavy Duty Cooling At Ex...,4,"₹26,490","7,437 Ratings & 670 Reviews","Annual Power Usage: 1034 UnitsRoom Size: 90 sqft or Below5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor"
Godrej 2025 Model 2 Ton 3 Star Split Inverter 5-In-1-Convertible Cooling with Heavy Duty Cooling And P...,3.9,"₹36,990","1,768 Ratings & 109 Reviews","Annual Power Usage: 1935 UnitsRoom Size: 151 - 200 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor"
"Godrej 2025 Model 1.5 Ton 3 Star Split Inverter AI Powered, 5-In-1 Convertible, Heavy Duty Cooling At ...",4,"₹28,490","18,780 Ratings & 1,534 Reviews","Annual Power Usage: 983.99 kWhRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor"
"Godrej 2025 Model 1.5 Ton 4 Star Split Inverter 5-In-1-Convertible Cooling, 4 Way Air Swing And Heavy ...",4,"₹29,990","9,623 Ratings & 712 Reviews","Annual Power Usage: 835.07 UnitsRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor"
"Samsung 2025 Model 1.5 Ton 3 Star Split Inverter with Wi-fi Bespoke AI, 5 Step Convertible with Powerf...",4.1,"₹32,490","35,590 Ratings & 3,239 Reviews",Annual Power Usage: 852.47 UnitsRoom Size: 111 - 150 sqft5 years comprehensive warranty on product and 10 years on compressor
MarQ by Flipkart 2025 Model 2 Ton 3 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technology ...,4.2,"₹34,490","1,381 Ratings & 156 Reviews",Annual Power Usage: 1281.64 UnitsRoom Size: 151 - 200 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor
Samsung 2025 Model 1.5 Ton 3 Star Split Inverter with Wi-fi AC,4.1,"₹34,990","35,590 Ratings & 3,239 Reviews",Annual Power Usage: 1047.62 WRoom Size: 111 - 150 sqft5 Years Comprehensive Warranty on AC and 10 Years Warranty on Compressor
Godrej 2025 Model 1.4 Ton 3 Star Split Inverter 5-In-1-Convertible Cooling Heavy Duty Cooling At Extre...,3.9,"₹27,490","2,721 Ratings & 211 Reviews","Annual Power Usage: 905.88 UnitsRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor"
Panasonic 2024 Model 1.5 Ton 3 Star Split Inverter with Wi-fi 7 in 1 Convertible with True AI Mode AC,4.2,"₹36,990","22,656 Ratings & 2,219 Reviews","Annual Power Usage: 1002.31 UnitsRoom Size: 111 - 150 sqft5 years on Product and 10 years on Compressor. 5 years warranty covers PCB, Coils and Motors. Gas Charging: Covered for part replacement (Coils & Compressor) till 5 years."
Godrej 2024 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue Fin Anti Corrosive Coating ...,4,"₹26,999","7,437 Ratings & 670 Reviews","Annual Power Usage: 694.03 UnitsRoom Size: 90 sqft or Below5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor"
Panasonic 2024 Model 2 Ton 3 Star Split Inverter with Wi-fi 7 in 1 Convertible with True AI Mode AC,4.2,"₹50,990",806 Ratings & 69 Reviews,"Annual Power Usage: 1215.59 UnitsRoom Size: 151 - 200 sqft5 years on Product and 10 years on Compressor. 5 years warranty covers PCB, Coils and Motors. Gas Charging: Covered for part replacement (Coils & Compressor) till 5 years."
"Haier 2024 Model 1.5 Ton 3 Star Split Dual Inverter 5 in 1 Convertible with Micro Bacterial Filter, 54...",4,"₹31,690","5,548 Ratings & 543 Reviews",Annual Power Usage: 925.24 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product and 12 Years Warranty on Compressor
Panasonic 2026 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,4.3,"₹44,990","20,397 Ratings & 2,172 Reviews","Annual Power Usage: 681.01 kWhRoom Size: 111 - 150 sqft5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
Panasonic 2026 Model 1.5 Ton 3 Star Split Inverter with Wi-fi AC,4.2,"₹36,990","22,656 Ratings & 2,219 Reviews","Annual Power Usage: 877.74 kWhRoom Size: 111 - 150 sqft5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
Panasonic 2024 Model 1 Ton 3 Star Split Inverter with Wi-fi 7 in 1 Convertible with True AI Mode AC,4.2,"₹32,990","5,201 Ratings & 593 Reviews","Annual Power Usage: 676.64 UnitsRoom Size: 90 sqft or Below5 years on Product and 10 years on Compressor. 5 years warranty covers PCB, Coils and Motors. Gas Charging: Covered for part replacement (Coils & Compressor) till 5 years."
Daikin 2024 Model 1 Ton 3 Star Split Inverter AC,4.1,"₹32,999","4,352 Ratings & 374 Reviews",Annual Power Usage: 680.4 UnitsRoom Size: 90 sqft or Below5 Year Comprehensive Warranty from 1 st Nov 2025 to 28th Feb 2026
Panasonic 2026 Model 1 Ton 3 Star Split Inverter with Wi-fi AC,4.2,"₹33,990","5,201 Ratings & 593 Reviews","Annual Power Usage: 593.89 kWhRoom Size: 90 sqft or Below5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
Panasonic 2026 Model 1 Ton 5 Star Split Inverter with Wi-fi AC,4.2,"₹39,990","3,917 Ratings & 428 Reviews","Annual Power Usage: 460.65 kWhRoom Size: 90 sqft or Below5 Year Comprehensive warranty on Product ,10 Years warranty on Compressor plus 4 Years warranty on PCB"
Panasonic 2024 Model 1 Ton 4 Star Split Inverter with Wi-fi AC,4.2,"₹30,600",593 Ratings & 50 Reviews,"Annual Power Usage: 601.5 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor"
"Haier 2024 Model 1 Ton 3 Star Split Dual Inverter with Micro Bacterial Filter, 60 High Ambient Perform...",4,"₹28,699","1,866 Ratings & 163 Reviews",Annual Power Usage: 697.66 UnitsRoom Size: 90 sqft or Below5 Years Warranty on Product and 12 Years Warranty on Compressor
MarQ by Flipkart 2024 Model 1 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology ...,4.2,"₹47,999","39,732 Ratings & 4,950 Reviews",Annual Power Usage: 675.18 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor
